"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (annual growth rate) (BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A)"
"2000-01-31","2000Jan","9.5"
"2000-02-29","2000Feb","10.9"
"2000-03-31","2000Mar","10.5"
"2000-04-30","2000Apr","10.5"
"2000-05-31","2000May","9.0"
"2000-06-30","2000Jun","7.6"
"2000-07-31","2000Jul","6.6"
"2000-08-31","2000Aug","7.3"
"2000-09-30","2000Sep","6.4"
"2000-10-31","2000Oct","6.0"
"2000-11-30","2000Nov","5.3"
"2000-12-31","2000Dec","5.2"
"2001-01-31","2001Jan","2.0"
"2001-02-28","2001Feb","2.5"
"2001-03-31","2001Mar","1.7"
"2001-04-30","2001Apr","1.8"
"2001-05-31","2001May","3.1"
"2001-06-30","2001Jun","4.1"
"2001-07-31","2001Jul","3.6"
"2001-08-31","2001Aug","4.0"
"2001-09-30","2001Sep","5.3"
"2001-10-31","2001Oct","5.6"
"2001-11-30","2001Nov","6.5"
"2001-12-31","2001Dec","6.1"
"2002-01-31","2002Jan","7.2"
"2002-02-28","2002Feb","6.7"
"2002-03-31","2002Mar","6.3"
"2002-04-30","2002Apr","7.1"
"2002-05-31","2002May","7.4"
"2002-06-30","2002Jun","7.2"
"2002-07-31","2002Jul","7.9"
"2002-08-31","2002Aug","7.9"
"2002-09-30","2002Sep","8.3"
"2002-10-31","2002Oct","8.3"
"2002-11-30","2002Nov","9.1"
"2002-12-31","2002Dec","9.9"
"2003-01-31","2003Jan","9.1"
"2003-02-28","2003Feb","10.2"
"2003-03-31","2003Mar","11.5"
"2003-04-30","2003Apr","11.2"
"2003-05-31","2003May","11.0"
"2003-06-30","2003Jun","11.3"
"2003-07-31","2003Jul","11.3"
"2003-08-31","2003Aug","11.7"
"2003-09-30","2003Sep","11.2"
"2003-10-31","2003Oct","11.9"
"2003-11-30","2003Nov","10.6"
"2003-12-31","2003Dec","10.8"
"2004-01-31","2004Jan","11.3"
"2004-02-29","2004Feb","10.9"
"2004-03-31","2004Mar","11.5"
"2004-04-30","2004Apr","10.6"
"2004-05-31","2004May","9.7"
"2004-06-30","2004Jun","9.7"
"2004-07-31","2004Jul","9.7"
"2004-08-31","2004Aug","9.1"
"2004-09-30","2004Sep","9.6"
"2004-10-31","2004Oct","9.1"
"2004-11-30","2004Nov","9.8"
"2004-12-31","2004Dec","8.7"
"2005-01-31","2005Jan","9.8"
"2005-02-28","2005Feb","10.0"
"2005-03-31","2005Mar","9.1"
"2005-04-30","2005Apr","9.2"
"2005-05-31","2005May","10.2"
"2005-06-30","2005Jun","10.8"
"2005-07-31","2005Jul","11.5"
"2005-08-31","2005Aug","11.6"
"2005-09-30","2005Sep","10.9"
"2005-10-31","2005Oct","11.0"
"2005-11-30","2005Nov","10.5"
"2005-12-31","2005Dec","11.4"
"2006-01-31","2006Jan","10.1"
"2006-02-28","2006Feb","9.8"
"2006-03-31","2006Mar","9.9"
"2006-04-30","2006Apr","10.4"
"2006-05-31","2006May","10.4"
"2006-06-30","2006Jun","9.1"
"2006-07-31","2006Jul","7.4"
"2006-08-31","2006Aug","7.0"
"2006-09-30","2006Sep","7.1"
"2006-10-31","2006Oct","6.2"
"2006-11-30","2006Nov","6.5"
"2006-12-31","2006Dec","8.0"
"2007-01-31","2007Jan","7.0"
"2007-02-28","2007Feb","6.9"
"2007-03-31","2007Mar","7.1"
"2007-04-30","2007Apr","6.0"
"2007-05-31","2007May","5.8"
"2007-06-30","2007Jun","6.2"
"2007-07-31","2007Jul","7.1"
"2007-08-31","2007Aug","6.5"
"2007-09-30","2007Sep","6.4"
"2007-10-31","2007Oct","6.4"
"2007-11-30","2007Nov","6.3"
"2007-12-31","2007Dec","4.0"
"2008-01-31","2008Jan","4.2"
"2008-02-29","2008Feb","3.5"
"2008-03-31","2008Mar","3.1"
"2008-04-30","2008Apr","2.6"
"2008-05-31","2008May","2.3"
"2008-06-30","2008Jun","1.8"
"2008-07-31","2008Jul","0.2"
"2008-08-31","2008Aug","0.2"
"2008-09-30","2008Sep","1.2"
"2008-10-31","2008Oct","3.3"
"2008-11-30","2008Nov","2.4"
"2008-12-31","2008Dec","3.5"
