date,IP_USA
2015-07-16,102.14796774193549
2015-07-17,102.22073225806452
2015-07-18,102.29349677419356
2015-07-19,102.36626129032258
2015-07-20,102.43902580645161
2015-07-21,102.51179032258065
2015-07-22,102.58455483870968
2015-07-23,102.6573193548387
2015-07-24,102.73008387096775
2015-07-25,102.80284838709677
2015-07-26,102.87561290322581
2015-07-27,102.94837741935484
2015-07-28,103.02114193548387
2015-07-29,103.09390645161291
2015-07-30,103.16667096774194
2015-07-31,103.23943548387098
2015-08-01,103.3122
2015-08-02,103.23931290322581
2015-08-03,103.16642580645161
2015-08-04,103.09353870967742
2015-08-05,103.02065161290324
2015-08-06,102.94776451612904
2015-08-07,102.87487741935485
2015-08-08,102.80199032258065
2015-08-09,102.72910322580645
2015-08-10,102.65621612903226
2015-08-11,102.58332903225806
