observation_date,"PENUSD"
30Oct15,3.287
02Nov15,3.287
03Nov15,3.287
04Nov15,3.29
05Nov15,3.302
06Nov15,3.315
09Nov15,3.31
10Nov15,3.314
11Nov15,3.316
12Nov15,3.323
13Nov15,3.332
16Nov15,3.343
17Nov15,3.346
18Nov15,3.357
19Nov15,3.356
20Nov15,3.36
23Nov15,3.376
24Nov15,3.377
25Nov15,3.385
26Nov15,3.379
27Nov15,3.378
30Nov15,3.376
01Dic15,3.377
02Dic15,3.373
03Dic15,3.369
04Dic15,3.372
07Dic15,3.377
08Dic15,n.d.
09Dic15,3.375
10Dic15,3.376
11Dic15,3.379
14Dic15,3.382
15Dic15,3.377
16Dic15,3.372
17Dic15,3.376
18Dic15,3.379
21Dic15,3.383
22Dic15,3.391
23Dic15,3.398
24Dic15,3.398
25Dic15,n.d.
28Dic15,3.402
29Dic15,3.408
30Dic15,3.41
31Dic15,3.413
01Ene16,n.d.
04Ene16,3.43
05Ene16,3.417
06Ene16,3.417
07Ene16,3.423
08Ene16,3.428
11Ene16,3.428
12Ene16,3.426
13Ene16,3.421
14Ene16,3.425
15Ene16,3.43
18Ene16,3.431
19Ene16,3.433
20Ene16,3.442
21Ene16,3.446
22Ene16,3.447
25Ene16,3.458
26Ene16,3.469
27Ene16,3.466
28Ene16,3.469
29Ene16,3.471
01Feb16,3.485
02Feb16,3.489
03Feb16,3.494
04Feb16,3.478
05Feb16,3.482
08Feb16,3.492
09Feb16,3.5
10Feb16,3.507
11Feb16,3.513
12Feb16,3.509
15Feb16,3.505
16Feb16,3.508
17Feb16,3.506
18Feb16,3.505
19Feb16,3.514
22Feb16,3.521
23Feb16,3.527
24Feb16,3.538
25Feb16,3.533
26Feb16,3.525
29Feb16,3.527
01Mar16,3.522
02Mar16,3.512
03Mar16,3.47
04Mar16,3.446
07Mar16,3.465
08Mar16,3.471
09Mar16,3.441
10Mar16,3.436
11Mar16,3.389
14Mar16,3.363
15Mar16,3.348
16Mar16,3.375
17Mar16,3.347
18Mar16,3.374
21Mar16,3.393
22Mar16,3.415
23Mar16,3.403
24Mar16,n.d.
25Mar16,n.d.
28Mar16,3.361
29Mar16,3.384
30Mar16,3.363
31Mar16,3.328
01Abr16,3.344
04Abr16,3.352
05Abr16,3.36
06Abr16,3.376
07Abr16,3.403
08Abr16,3.392
11Abr16,3.326
12Abr16,3.277
13Abr16,3.271
14Abr16,3.275
15Abr16,3.276
18Abr16,3.278
19Abr16,3.254
20Abr16,3.25
21Abr16,3.256
22Abr16,3.272
25Abr16,3.279
26Abr16,3.285
27Abr16,3.29
28Abr16,3.28
29Abr16,3.274
02May16,3.292
03May16,3.322
04May16,3.334
05May16,3.321
06May16,3.319
09May16,3.339
10May16,3.334
11May16,3.332
12May16,3.331
13May16,3.338
16May16,3.333
17May16,3.321
18May16,3.323
19May16,3.342
20May16,3.348
23May16,3.347
24May16,3.339
25May16,3.341
26May16,3.344
27May16,3.359
30May16,3.363
31May16,3.374
01Jun16,3.382
02Jun16,3.369
03Jun16,3.353
06Jun16,3.321
07Jun16,3.308
08Jun16,3.294
09Jun16,3.306
10Jun16,3.32
13Jun16,3.331
14Jun16,3.338
15Jun16,3.322
16Jun16,3.34
17Jun16,3.32
20Jun16,3.291
21Jun16,3.288
22Jun16,3.285
23Jun16,3.284
24Jun16,3.316
27Jun16,3.321
28Jun16,3.306
29Jun16,n.d.
30Jun16,3.292
01Jul16,3.288
04Jul16,3.287
05Jul16,3.288
06Jul16,3.281
07Jul16,3.285
08Jul16,3.279
11Jul16,3.281
12Jul16,3.282
13Jul16,3.282
14Jul16,3.28
15Jul16,3.279
18Jul16,3.281
19Jul16,3.295
20Jul16,3.311
21Jul16,3.323
22Jul16,3.324
25Jul16,3.346
26Jul16,3.362
27Jul16,3.36
28Jul16,n.d.
29Jul16,n.d.
01Ago16,3.346
02Ago16,3.348
03Ago16,3.355
04Ago16,3.342
05Ago16,3.338
08Ago16,3.32
09Ago16,3.304
10Ago16,3.31
11Ago16,3.309
12Ago16,3.318
15Ago16,3.311
16Ago16,3.31
17Ago16,3.318
18Ago16,3.307
19Ago16,3.323
22Ago16,3.342
23Ago16,3.358
24Ago16,3.355
25Ago16,3.352
26Ago16,3.346
29Ago16,3.371
30Ago16,n.d.
31Ago16,3.395
01Set16,3.399
02Set16,3.391
05Set16,3.399
06Set16,3.375
07Set16,3.359
08Set16,3.371
09Set16,3.386
12Set16,3.401
13Set16,3.413
14Set16,3.399
15Set16,3.39
16Set16,3.396
19Set16,3.39
20Set16,3.389
21Set16,3.381
22Set16,3.356
23Set16,3.357
26Set16,3.366
27Set16,3.371
28Set16,3.378
29Set16,3.388
30Set16,3.403
03Oct16,3.393
04Oct16,3.398
05Oct16,3.404
06Oct16,3.411
07Oct16,3.408
10Oct16,3.398
11Oct16,3.401
12Oct16,3.408
13Oct16,3.411
14Oct16,3.403
17Oct16,3.4
18Oct16,3.388
19Oct16,3.382
20Oct16,3.385
21Oct16,3.369
24Oct16,3.352
25Oct16,3.361
26Oct16,3.367
27Oct16,3.375
28Oct16,3.363
31Oct16,3.365
01Nov16,n.d.
02Nov16,3.38
03Nov16,3.38
04Nov16,3.385
07Nov16,3.376
08Nov16,3.364
09Nov16,3.377
10Nov16,3.406
11Nov16,3.413
14Nov16,3.423
15Nov16,3.424
16Nov16,3.418
17Nov16,n.d.
18Nov16,n.d.
21Nov16,3.416
22Nov16,3.421
23Nov16,3.426
24Nov16,3.42
25Nov16,3.418
28Nov16,3.416
29Nov16,3.422
30Nov16,3.413
01Dic16,3.418
02Dic16,3.415
05Dic16,3.423
06Dic16,3.419
07Dic16,3.408
08Dic16,n.d.
09Dic16,3.402
12Dic16,3.404
13Dic16,3.4
14Dic16,3.397
15Dic16,3.406
16Dic16,3.402
19Dic16,3.408
20Dic16,3.406
21Dic16,3.398
22Dic16,3.398
23Dic16,3.386
26Dic16,3.394
27Dic16,3.385
28Dic16,3.37
29Dic16,3.358
30Dic16,3.36
02Ene17,3.363
03Ene17,3.378
04Ene17,3.391
05Ene17,3.373
06Ene17,3.375
09Ene17,3.382
10Ene17,3.39
11Ene17,3.392
12Ene17,3.366
13Ene17,3.366
16Ene17,3.371
17Ene17,3.353
18Ene17,3.351
19Ene17,3.338
20Ene17,3.306
23Ene17,3.292
24Ene17,3.284
25Ene17,3.279
26Ene17,3.301
27Ene17,3.294
30Ene17,3.29
31Ene17,3.287
01Feb17,3.272
02Feb17,3.262
03Feb17,3.249
06Feb17,3.277
07Feb17,3.293
08Feb17,3.29
09Feb17,3.275
10Feb17,3.256
13Feb17,3.267
14Feb17,3.265
15Feb17,3.257
16Feb17,3.249
17Feb17,3.263
20Feb17,3.254
21Feb17,3.25
22Feb17,3.245
23Feb17,3.243
24Feb17,3.252
27Feb17,3.255
28Feb17,3.263
01Mar17,3.265
02Mar17,3.274
03Mar17,3.286
06Mar17,3.292
07Mar17,3.294
08Mar17,3.294
09Mar17,3.296
10Mar17,3.285
13Mar17,3.288
14Mar17,3.29
15Mar17,3.269
16Mar17,3.251
17Mar17,3.251
20Mar17,3.251
21Mar17,3.247
22Mar17,3.252
23Mar17,3.246
24Mar17,3.244
27Mar17,3.248
28Mar17,3.246
29Mar17,3.243
30Mar17,3.245
31Mar17,3.249
03Abr17,3.25
04Abr17,3.252
05Abr17,3.249
06Abr17,3.248
07Abr17,3.248
10Abr17,3.247
11Abr17,3.251
12Abr17,3.254
13Abr17,n.d.
14Abr17,n.d.
17Abr17,3.251
18Abr17,3.253
19Abr17,3.251
20Abr17,3.245
21Abr17,3.244
24Abr17,3.243
25Abr17,3.247
26Abr17,3.25
27Abr17,3.249
28Abr17,3.246
01May17,n.d.
02May17,3.249
03May17,3.252
04May17,3.269
05May17,3.274
08May17,3.286
09May17,3.288
10May17,3.288
11May17,3.29
12May17,3.281
15May17,3.263
16May17,3.26
17May17,3.271
18May17,3.284
19May17,3.272
22May17,3.273
23May17,3.282
24May17,3.277
25May17,3.265
26May17,3.275
29May17,3.282
30May17,3.287
31May17,3.272
01Jun17,3.271
02Jun17,3.273
05Jun17,3.272
06Jun17,3.269
07Jun17,3.268
08Jun17,3.272
09Jun17,3.27
12Jun17,3.277
13Jun17,3.278
14Jun17,3.271
15Jun17,3.278
16Jun17,3.276
19Jun17,3.27
20Jun17,3.276
21Jun17,3.271
22Jun17,3.269
23Jun17,3.26
26Jun17,3.255
27Jun17,3.258
28Jun17,3.255
29Jun17,n.d.
30Jun17,n.d.
03Jul17,3.253
04Jul17,3.258
05Jul17,3.264
06Jul17,3.257
07Jul17,3.251
10Jul17,3.256
11Jul17,3.255
12Jul17,3.252
13Jul17,3.252
14Jul17,3.246
17Jul17,3.251
18Jul17,3.246
19Jul17,3.243
20Jul17,3.241
21Jul17,3.247
24Jul17,3.247
25Jul17,3.248
26Jul17,3.25
27Jul17,n.d.
28Jul17,n.d.
31Jul17,3.242
01Ago17,3.24
02Ago17,3.242
03Ago17,3.24
04Ago17,3.242
07Ago17,3.244
08Ago17,3.244
09Ago17,3.249
10Ago17,3.249
11Ago17,3.251
14Ago17,3.246
15Ago17,3.247
16Ago17,3.245
17Ago17,3.243
18Ago17,3.243
21Ago17,3.24
22Ago17,3.24
23Ago17,3.239
24Ago17,3.238
25Ago17,3.238
28Ago17,3.238
29Ago17,3.242
30Ago17,n.d.
31Ago17,3.242
01Set17,3.24
04Set17,3.241
05Set17,3.238
06Set17,3.238
07Set17,3.236
08Set17,3.235
11Set17,3.232
12Set17,3.235
13Set17,3.24
14Set17,3.24
15Set17,3.248
18Set17,3.249
19Set17,3.245
20Set17,3.245
21Set17,3.25
22Set17,3.248
25Set17,3.255
26Set17,3.271
27Set17,3.276
28Set17,3.27
29Set17,3.267
02Oct17,3.271
03Oct17,3.268
04Oct17,3.26
05Oct17,3.256
06Oct17,3.268
09Oct17,3.273
10Oct17,3.267
11Oct17,3.262
12Oct17,3.256
13Oct17,3.251
16Oct17,3.247
17Oct17,3.246
18Oct17,3.244
19Oct17,3.237
20Oct17,3.24
23Oct17,3.241
24Oct17,3.242
25Oct17,3.235
26Oct17,3.239
27Oct17,3.248
30Oct17,3.253
31Oct17,3.25
01Nov17,n.d.
02Nov17,3.244
03Nov17,3.246
06Nov17,3.242
07Nov17,3.243
08Nov17,3.244
09Nov17,3.246
10Nov17,3.243
13Nov17,3.244
14Nov17,3.243
15Nov17,3.25
16Nov17,3.252
17Nov17,3.246
20Nov17,3.244
21Nov17,3.236
22Nov17,3.241
23Nov17,3.241
24Nov17,3.24
27Nov17,3.238
28Nov17,3.237
29Nov17,3.234
30Nov17,3.235
01Dic17,3.234
04Dic17,3.237
05Dic17,3.236
06Dic17,3.238
07Dic17,3.238
08Dic17,n.d.
11Dic17,3.238
12Dic17,3.236
13Dic17,3.233
14Dic17,3.244
15Dic17,3.262
18Dic17,3.292
19Dic17,3.269
20Dic17,3.276
21Dic17,3.268
22Dic17,3.241
25Dic17,n.d.
26Dic17,3.243
27Dic17,3.244
28Dic17,3.244
29Dic17,3.245
01Ene18,n.d.
02Ene18,n.d.
03Ene18,3.23
04Ene18,3.208
05Ene18,3.215
08Ene18,3.219
09Ene18,3.22
10Ene18,3.22
11Ene18,3.218
12Ene18,3.217
15Ene18,3.216
16Ene18,3.217
17Ene18,3.212
18Ene18,3.213
19Ene18,3.217
22Ene18,3.216
23Ene18,3.219
24Ene18,3.214
25Ene18,3.21
26Ene18,3.215
29Ene18,3.219
30Ene18,3.217
31Ene18,3.217
01Feb18,3.213
02Feb18,3.218
05Feb18,3.225
06Feb18,3.251
07Feb18,3.247
08Feb18,3.254
09Feb18,3.27
12Feb18,3.265
13Feb18,3.27
14Feb18,3.27
15Feb18,3.25
16Feb18,3.243
19Feb18,3.25
20Feb18,3.253
21Feb18,3.249
22Feb18,3.251
23Feb18,3.251
26Feb18,3.25
27Feb18,3.25
28Feb18,3.261
01Mar18,3.265
02Mar18,3.259
05Mar18,3.25
06Mar18,3.252
07Mar18,3.257
08Mar18,3.256
09Mar18,3.26
12Mar18,3.259
13Mar18,3.26
14Mar18,3.261
15Mar18,3.262
16Mar18,3.268
19Mar18,3.273
20Mar18,3.269
21Mar18,3.263
22Mar18,3.243
23Mar18,3.237
26Mar18,3.219
27Mar18,3.223
28Mar18,3.229
29Mar18,n.d.
30Mar18,n.d.
02Abr18,3.229
03Abr18,3.226
04Abr18,3.228
05Abr18,3.228
06Abr18,3.234
09Abr18,3.239
10Abr18,3.239
11Abr18,3.239
12Abr18,3.229
13Abr18,n.d.
16Abr18,3.224
17Abr18,3.221
18Abr18,3.217
19Abr18,3.221
20Abr18,3.226
23Abr18,3.23
24Abr18,3.232
25Abr18,3.242
26Abr18,3.238
27Abr18,3.241
30Abr18,3.25
01May18,n.d.
02May18,3.268
03May18,3.276
04May18,3.272
07May18,3.279
08May18,3.288
09May18,3.293
10May18,3.279
11May18,3.261
14May18,3.26
15May18,3.272
16May18,3.268
17May18,3.274
18May18,3.289
21May18,3.286
22May18,3.274
23May18,3.271
24May18,3.268
25May18,3.27
28May18,3.272
29May18,3.281
30May18,3.272
31May18,3.274
01Jun18,3.273
04Jun18,3.273
05Jun18,3.273
06Jun18,3.261
07Jun18,3.262
08Jun18,3.263
11Jun18,3.267
12Jun18,3.27
13Jun18,3.266
14Jun18,3.267
15Jun18,3.279
18Jun18,3.281
19Jun18,3.285
20Jun18,3.283
21Jun18,3.279
22Jun18,3.269
25Jun18,3.275
26Jun18,3.272
27Jun18,3.272
28Jun18,3.274
29Jun18,n.d.
02Jul18,3.288
03Jul18,3.287
04Jul18,3.291
05Jul18,3.291
06Jul18,3.287
09Jul18,3.284
10Jul18,3.274
11Jul18,3.28
12Jul18,3.276
13Jul18,3.273
16Jul18,3.272
17Jul18,3.269
18Jul18,3.273
19Jul18,3.277
20Jul18,3.276
23Jul18,3.28
24Jul18,3.275
25Jul18,3.274
26Jul18,3.276
27Jul18,n.d.
30Jul18,3.272
31Jul18,3.274
01Ago18,3.275
02Ago18,3.274
03Ago18,3.271
06Ago18,3.27
07Ago18,3.27
08Ago18,3.27
09Ago18,3.273
10Ago18,3.279
13Ago18,3.287
14Ago18,3.291
15Ago18,3.313
16Ago18,3.312
17Ago18,3.321
20Ago18,3.315
21Ago18,3.301
22Ago18,3.287
23Ago18,3.296
24Ago18,3.294
27Ago18,3.291
28Ago18,3.294
29Ago18,3.298
30Ago18,n.d.
31Ago18,n.d.
03Set18,3.307
04Set18,3.315
05Set18,3.317
06Set18,3.32
07Set18,3.325
10Set18,3.328
11Set18,3.334
12Set18,3.331
13Set18,3.325
14Set18,3.316
17Set18,3.316
18Set18,3.308
19Set18,3.305
20Set18,3.3
21Set18,3.293
24Set18,3.3
25Set18,3.306
26Set18,3.306
27Set18,3.303
28Set18,3.302
01Oct18,3.309
02Oct18,3.314
03Oct18,3.314
04Oct18,3.335
05Oct18,3.324
08Oct18,n.d.
09Oct18,3.332
10Oct18,3.33
11Oct18,3.33
12Oct18,3.333
15Oct18,3.338
16Oct18,3.334
17Oct18,3.336
18Oct18,3.338
19Oct18,3.332
22Oct18,3.334
23Oct18,3.337
24Oct18,3.341
25Oct18,3.341
26Oct18,3.347
29Oct18,3.352
30Oct18,3.36
31Oct18,3.367
01Nov18,n.d.
02Nov18,n.d.
05Nov18,3.361
06Nov18,3.371
07Nov18,3.366
08Nov18,3.37
09Nov18,3.372
12Nov18,3.377
13Nov18,3.379
14Nov18,3.379
15Nov18,3.386
16Nov18,3.379
19Nov18,3.378
20Nov18,3.383
21Nov18,3.378
22Nov18,3.373
23Nov18,3.379
26Nov18,3.381
27Nov18,3.383
28Nov18,3.38
29Nov18,3.379
30Nov18,3.382
03Dic18,3.378
04Dic18,3.385
05Dic18,3.381
06Dic18,3.381
07Dic18,3.371
10Dic18,3.376
11Dic18,3.37
12Dic18,3.359
13Dic18,3.365
14Dic18,3.355
17Dic18,3.347
18Dic18,3.346
19Dic18,3.351
20Dic18,3.343
21Dic18,3.358
24Dic18,n.d.
25Dic18,n.d.
26Dic18,3.369
27Dic18,3.376
28Dic18,3.37
31Dic18,3.379
01Ene19,n.d.
02Ene19,3.373
03Ene19,3.371
04Ene19,3.36
07Ene19,3.353
08Ene19,3.35
09Ene19,3.335
10Ene19,3.343
11Ene19,3.343
14Ene19,3.345
15Ene19,3.34
16Ene19,3.333
17Ene19,3.333
18Ene19,3.319
21Ene19,3.33
22Ene19,3.337
23Ene19,3.338
24Ene19,3.346
25Ene19,3.345
28Ene19,3.354
29Ene19,3.36
30Ene19,3.355
31Ene19,3.335
01Feb19,3.33
04Feb19,3.331
05Feb19,3.331
06Feb19,3.328
07Feb19,3.324
08Feb19,3.324
11Feb19,3.331
12Feb19,3.333
13Feb19,3.337
14Feb19,3.341
15Feb19,3.331
18Feb19,3.324
19Feb19,3.318
20Feb19,3.318
21Feb19,3.322
22Feb19,3.31
25Feb19,3.306
26Feb19,3.312
27Feb19,3.306
28Feb19,3.305
01Mar19,3.307
04Mar19,3.312
05Mar19,3.313
06Mar19,3.31
07Mar19,3.311
08Mar19,3.315
11Mar19,3.31
12Mar19,3.303
13Mar19,3.292
14Mar19,3.297
15Mar19,3.299
18Mar19,3.301
19Mar19,3.301
20Mar19,3.294
21Mar19,3.294
22Mar19,3.305
25Mar19,3.304
26Mar19,3.306
27Mar19,3.317
28Mar19,3.319
29Mar19,3.321
01Abr19,3.312
02Abr19,3.312
03Abr19,3.3
04Abr19,3.299
05Abr19,3.3
08Abr19,3.293
09Abr19,3.293
10Abr19,3.295
11Abr19,3.3
12Abr19,3.296
15Abr19,3.299
16Abr19,3.297
17Abr19,3.297
18Abr19,n.d.
19Abr19,n.d.
22Abr19,3.304
23Abr19,3.311
24Abr19,3.322
25Abr19,3.332
26Abr19,3.321
29Abr19,3.317
30Abr19,3.312
01May19,n.d.
02May19,3.315
03May19,3.304
06May19,3.312
07May19,3.315
08May19,3.316
09May19,3.322
10May19,3.318
13May19,3.332
14May19,3.325
15May19,3.324
16May19,3.318
17May19,3.324
20May19,3.34
21May19,3.347
22May19,3.347
23May19,3.35
24May19,3.346
27May19,3.351
28May19,3.355
29May19,3.358
30May19,3.363
31May19,3.37
03Jun19,3.373
04Jun19,3.351
05Jun19,3.353
06Jun19,3.338
07Jun19,3.336
10Jun19,3.335
11Jun19,3.332
12Jun19,3.331
13Jun19,3.332
14Jun19,3.34
17Jun19,3.348
18Jun19,3.34
19Jun19,3.336
20Jun19,3.313
21Jun19,3.306
24Jun19,3.302
25Jun19,3.298
26Jun19,3.301
27Jun19,3.294
28Jun19,3.29
01Jul19,3.291
02Jul19,3.292
03Jul19,3.296
04Jul19,3.294
05Jul19,3.298
08Jul19,3.293
09Jul19,3.293
10Jul19,3.288
11Jul19,3.286
12Jul19,3.285
15Jul19,3.286
16Jul19,3.288
17Jul19,3.287
18Jul19,3.288
19Jul19,3.286
22Jul19,3.287
23Jul19,3.292
24Jul19,3.294
25Jul19,3.3
26Jul19,3.3
29Jul19,n.d.
30Jul19,n.d.
31Jul19,3.31
01Ago19,3.319
02Ago19,3.346
05Ago19,3.385
06Ago19,3.384
07Ago19,3.382
08Ago19,3.382
09Ago19,3.383
12Ago19,3.389
13Ago19,3.377
14Ago19,3.389
15Ago19,3.394
16Ago19,3.386
19Ago19,3.386
20Ago19,3.381
21Ago19,3.379
22Ago19,3.3814
23Ago19,3.377
26Ago19,3.379
27Ago19,3.388
28Ago19,3.399
29Ago19,n.d.
30Ago19,n.d.
02Set19,3.405
03Set19,3.405
04Set19,3.392
05Set19,3.367
06Set19,3.346
09Set19,3.347
10Set19,3.348
11Set19,3.344
12Set19,3.331
13Set19,3.318
16Set19,3.327
17Set19,3.345
18Set19,3.345
19Set19,3.354
20Set19,3.361
23Set19,3.364
24Set19,3.346
25Set19,3.352
26Set19,3.365
27Set19,3.395
30Set19,3.385
01Oct19,3.393
02Oct19,3.388
03Oct19,3.378
04Oct19,3.378
07Oct19,3.388
08Oct19,n.d.
09Oct19,3.379
10Oct19,3.361
11Oct19,3.357
14Oct19,3.365
15Oct19,3.372
16Oct19,3.37
17Oct19,3.355
18Oct19,3.347
21Oct19,3.347
22Oct19,3.342
23Oct19,3.347
24Oct19,3.35
25Oct19,3.351
28Oct19,3.335
29Oct19,3.34
30Oct19,3.349
31Oct19,n.d.
01Nov19,n.d.
04Nov19,3.336
05Nov19,3.339
06Nov19,3.341
07Nov19,3.345
08Nov19,3.353
11Nov19,3.364
12Nov19,3.376
13Nov19,3.392
14Nov19,3.391
15Nov19,3.373
18Nov19,3.372
19Nov19,3.381
20Nov19,3.387
21Nov19,3.38
22Nov19,3.385
25Nov19,3.391
26Nov19,3.385
27Nov19,3.394
28Nov19,3.39
29Nov19,3.399
02Dic19,3.403
03Dic19,3.391
04Dic19,3.386
05Dic19,3.38
06Dic19,3.381
09Dic19,3.38
10Dic19,3.391
11Dic19,3.393
12Dic19,3.393
13Dic19,3.373
16Dic19,3.36
17Dic19,3.349
18Dic19,3.34
19Dic19,3.338
20Dic19,3.326
23Dic19,3.32
24Dic19,3.319
25Dic19,n.d.
26Dic19,3.322
27Dic19,3.324
30Dic19,3.319
31Dic19,3.317
01Ene20,n.d.
02Ene20,3.305
03Ene20,3.311
06Ene20,3.323
07Ene20,3.327
08Ene20,3.32
09Ene20,3.321
10Ene20,3.324
13Ene20,3.336
14Ene20,3.33
15Ene20,3.327
16Ene20,3.326
17Ene20,3.324
20Ene20,3.323
21Ene20,3.32
22Ene20,3.317
23Ene20,3.322
24Ene20,3.325
27Ene20,3.339
28Ene20,3.335
29Ene20,3.345
30Ene20,3.36
31Ene20,3.376
03Feb20,3.374
04Feb20,3.364
05Feb20,3.36
06Feb20,3.371
07Feb20,3.388
10Feb20,3.394
11Feb20,3.39
12Feb20,3.383
13Feb20,3.385
14Feb20,3.384
17Feb20,3.384
18Feb20,3.386
19Feb20,3.384
20Feb20,3.392
21Feb20,3.394
24Feb20,3.404
25Feb20,3.405
26Feb20,3.412
27Feb20,3.43
28Feb20,3.451
02Mar20,3.445
03Mar20,3.428
04Mar20,3.425
05Mar20,3.44
06Mar20,3.473
09Mar20,3.502
10Mar20,3.498
11Mar20,3.51
12Mar20,3.545
13Mar20,3.53
16Mar20,3.55
17Mar20,3.554
18Mar20,3.568
19Mar20,3.565
20Mar20,3.525
23Mar20,3.536
24Mar20,3.523
25Mar20,3.503
26Mar20,3.439
27Mar20,3.423
30Mar20,3.439
31Mar20,3.442
01Abr20,3.462
02Abr20,3.458
03Abr20,3.457
06Abr20,3.412
07Abr20,3.373
08Abr20,3.356
09Abr20,n.d.
10Abr20,n.d.
13Abr20,3.379
14Abr20,3.393
15Abr20,3.421
16Abr20,3.411
17Abr20,3.407
20Abr20,3.41
21Abr20,3.4
22Abr20,3.376
23Abr20,3.364
24Abr20,3.381
27Abr20,3.4
28Abr20,3.387
29Abr20,3.373
30Abr20,3.383
01May20,n.d.
04May20,3.39
05May20,3.394
06May20,3.407
07May20,3.41
08May20,3.399
11May20,3.421
12May20,3.425
13May20,3.437
14May20,3.455
15May20,3.448
18May20,3.424
19May20,3.43
20May20,3.41
21May20,3.406
22May20,3.429
25May20,3.429
26May20,3.426
27May20,3.453
28May20,3.444
29May20,3.434
01Jun20,3.422
02Jun20,3.404
03Jun20,3.391
04Jun20,3.422
05Jun20,3.43
08Jun20,3.441
09Jun20,3.448
10Jun20,3.437
11Jun20,3.452
12Jun20,3.464
15Jun20,3.485
16Jun20,3.477
17Jun20,3.493
18Jun20,3.511
19Jun20,3.513
22Jun20,3.496
23Jun20,3.518
24Jun20,3.529
