date,rate,rate_interpolated,log_rate,diff,Wt,scaled_Wt,e_t,scaled_Wt_bin
2017-01-02,,1.0484,0.0472651924671142,-0.0064651299538534,-0.0064079482370192,-0.6407948237019201,-1,"(-inf, -0.5]"
2017-01-03,1.0416,1.0416,0.0407579924721678,-0.0065071999949463,-0.0064500182781121,-0.6450018278112101,-1,"(-inf, -0.5]"
2017-01-04,1.0476,1.0476,0.0465018336514198,0.005743841179252,0.0058010228960862,0.58010228960862,1,"(0.5, inf)"
2017-01-05,1.0598,1.0598,0.0580802110765247,0.0115783774251048,0.011635559141939,1.1635559141939,1,"(0.5, inf)"
2017-01-06,1.056,1.056,0.0544881852840697,-0.0035920257924549,-0.0035348440756207,-0.35348440756207,0,"(-0.5, 0.5]"
2017-01-09,1.0576,1.0576,0.0560021901152848,0.0015140048312151,0.0015711865480493,0.15711865480493,0,"(-0.5, 0.5]"
2017-01-10,1.0572,1.0572,0.055623903747997,-0.0003782863672878,-0.0003211046504536,-0.03211046504536,0,"(-0.5, 0.5]"
2017-01-11,1.0501,1.0501,0.0488853977298106,-0.0067385060181863,-0.0066813243013521,-0.6681324301352101,-1,"(-inf, -0.5]"
2017-01-12,1.0666,1.0666,0.0644760191843647,0.0155906214545541,0.0156478031713883,1.5647803171388301,1,"(0.5, inf)"
2017-01-13,1.0625,1.0625,0.0606246218164348,-0.0038513973679299,-0.0037942156510957,-0.37942156510957,0,"(-0.5, 0.5]"
2017-01-16,,1.0659999999999998,0.0639133257436526,0.0032887039272178,0.003345885644052,0.3345885644052,0,"(-0.5, 0.5]"
2017-01-17,1.0695,1.0695,0.0671912495403231,0.0032779237966705,0.0033351055135047,0.33351055135047,0,"(-0.5, 0.5]"
2017-01-18,1.0682,1.0682,0.0659749889235329,-0.0012162606167902,-0.001159078899956,-0.11590788999559999,0,"(-0.5, 0.5]"
2017-01-19,1.063,1.063,0.0610950993598108,-0.004879889563722,-0.0048227078468878,-0.48227078468878004,0,"(-0.5, 0.5]"
2017-01-20,,1.0685,0.0662557957770652,0.0051606964172544,0.0052178781340886,0.52178781340886,1,"(0.5, inf)"
2017-01-23,1.074,1.074,0.071389996086673,0.0051342003096077,0.0051913820264419,0.5191382026441901,1,"(0.5, inf)"
2017-01-24,1.0749,1.0749,0.0722276339968807,0.0008376379102077,0.0008948196270419,0.08948196270419,0,"(-0.5, 0.5]"
2017-01-25,1.0743,1.0743,0.0716692866903596,-0.000558347306521,-0.0005011655896868,-0.050116558968679996,0,"(-0.5, 0.5]"
2017-01-26,1.067,1.067,0.0648509723196162,-0.0068183143707434,-0.0067611326539091,-0.67611326539091,-1,"(-inf, -0.5]"
2017-01-27,1.069,1.069,0.0667236320429081,0.0018726597232918,0.001929841440126,0.1929841440126,0,"(-0.5, 0.5]"
2017-01-30,1.0681,1.0681,0.0658813691135127,-0.0008422629293953,-0.0007850812125611,-0.07850812125611,0,"(-0.5, 0.5]"
2017-01-31,1.0794,1.0794,0.0764053312024053,0.0105239620888925,0.0105811438057267,1.05811438057267,1,"(0.5, inf)"
2017-02-01,1.0758,1.0758,0.0730645708570052,-0.0033407603454,-0.0032835786285658,-0.32835786285658003,0,"(-0.5, 0.5]"
2017-02-02,1.0802,1.0802,0.0771462091766537,0.0040816383196485,0.0041388200364827,0.41388200364827,0,"(-0.5, 0.5]"
