date,log_m1_daily,m1_daily,m1_rebased_2015m1_100
2017-11-16,28.14278521357699,1668231523978.0898,134.5490235746261
2017-11-17,28.142723552063813,1668128661469.356,134.54072733401821
2017-11-18,28.142661890550638,1668025805303.0845,134.5324316049533
2017-11-19,28.142600229037463,1667922955478.8843,134.5241363873998
2017-11-20,28.142538567524287,1667820111996.3643,134.51584168132624
2017-11-21,28.142476906011108,1667717274855.1277,134.50754748670056
2017-11-22,28.142415244497933,1667614444054.7954,134.49925380349217
2017-11-23,28.142353582984757,1667511619594.9702,134.49096063166908
2017-11-24,28.142291921471582,1667408801475.2612,134.48266797119973
2017-11-25,28.142230259958406,1667305989695.2778,134.47437582205262
2017-11-26,28.14216859844523,1667203184254.629,134.4660841841962
2017-11-27,28.142106936932052,1667100385152.9175,134.45779305759848
2017-11-28,28.142045275418877,1666997592389.765,134.4495024422289
2017-11-29,28.1419836139057,1666894805964.7742,134.44121233805544
2017-11-30,28.141921952392526,1666792025877.5544,134.43292274504657
2017-12-01,28.14186029087935,1666689252127.715,134.42463366317082
2017-12-02,28.141798629366175,1666586484714.8655,134.41634509239663
2017-12-03,28.141736967853,1666483723638.6145,134.40805703269248
2017-12-04,28.14167530633982,1666380968898.5657,134.39976948402642
2017-12-05,28.141613644826645,1666278220494.34,134.39148244636786
2017-12-06,28.14155198331347,1666175478425.5415,134.38319591968485
2017-12-07,28.141490321800294,1666072742691.7788,134.37490990394585
2017-12-08,28.14142866028712,1665970013292.6619,134.36662439911936
2017-12-09,28.141366998773943,1665867290227.7996,134.3583394051739
2017-12-10,28.141305337260764,1665764573496.796,134.35005492207748
2017-12-11,28.14124367574759,1665661863099.272,134.34177094979952
2017-12-12,28.141182014234413,1665559159034.831,134.33348748830812
2017-12-13,28.141120352721238,1665456461303.083,134.32520453757172
2017-12-14,28.141058691208062,1665353769903.6375,134.31692209755883
2017-12-15,28.140997029694887,1665251084836.1035,134.30864016823801
2017-12-16,28.140935368181708,1665148406100.0852,134.30035874957724
2017-12-17,28.140873706668533,1665045733695.2039,134.29207784154602
2017-12-18,28.140812045155357,1664943067621.0632,134.2837974441124
2017-12-19,28.14075038364218,1664840407877.273,134.27551755724483
2017-12-20,28.140688722129006,1664737754463.4426,134.2672381809119
2017-12-21,28.14062706061583,1664635107379.182,134.25895931508208
2017-12-22,28.140565399102655,1664532466624.1006,134.25068095972398
2017-12-23,28.140503737589476,1664429832197.8025,134.2424031148055
2017-12-24,28.1404420760763,1664327204099.9092,134.23412578029627
2017-12-25,28.140380414563126,1664224582330.0247,134.22584895616424
2017-12-26,28.14031875304995,1664121966887.7588,134.21757264237797
2017-12-27,28.140257091536775,1664019357772.7212,134.20929683890603
2017-12-28,28.1401954300236,1663916754984.5217,134.20102154571688
2017-12-29,28.14013376851042,1663814158522.7646,134.19274676277865
2017-12-30,28.140072106997245,1663711568387.0713,134.1844724900608
2017-12-31,28.14001044548407,1663608984577.0461,134.1761987275314
2018-01-01,28.139948783970894,1663506407092.2988,134.167925475159
2018-01-02,28.140122790257575,1663795892850.507,134.1912735689612
2018-01-03,28.155800163474254,1690085378608.709,136.3116175309373
2018-01-04,28.139869705269415,1663374864366.907,134.15731606932687
2018-01-05,28.1236813536637,1636664350125.1194,132.0030146077176
2018-01-06,28.125689208516835,1639953835883.3208,132.2683237632317
2018-01-07,28.163555385642272,1703243321641.522,137.3728541529943
2018-01-08,28.177136355854667,1726532807399.7317,139.25123705325862
2018-01-09,28.20190025812813,1769822293157.9275,142.7426936982713
2018-01-10,28.175152945958665,1723111778916.1394,138.97531849191247
2018-01-11,28.1999654089904,1766401264674.341,142.4667751369256
2018-01-12,28.20746072942669,1779690750432.5405,143.53862116481432
2018-01-13,28.20738559663793,1779557042326.3271,143.52783711303468
2018-01-14,28.207310463849172,1779423344265.5994,143.51705387146046
2018-01-15,28.207235331060414,1779289656249.6023,143.50627144003084
2018-01-16,28.207160198271655,1779155978277.5815,143.49548981868494
2018-01-17,28.207085065482897,1779022310348.7822,143.4847090073619
2018-01-18,28.207009932694138,1778888652462.45,143.47392900600082
2018-01-19,28.20693479990538,1778755004617.83,143.46314981454088
2018-01-20,28.20685966711662,1778621366814.1685,143.45237143292127
2018-01-21,28.206784534327863,1778487739050.7102,143.44159386108106
2018-01-22,28.206709401539104,1778354121326.7017,143.4308170989595
2018-01-23,28.206634268750346,1778220513641.3882,143.4200411464957
2018-01-24,28.206559135961587,1778086915994.0154,143.40926600362883
2018-01-25,28.20648400317283,1777953328383.8296,143.3984916702981
2018-01-26,28.20640887038407,1777819750810.0762,143.38771814644264
2018-01-27,28.206333737595312,1777686183272.0017,143.3769454320017
2018-01-28,28.206258604806553,1777552625768.8516,143.3661735269144
2018-01-29,28.206183472017795,1777419078299.8723,143.35540243112
2018-01-30,28.206108339229036,1777285540864.31,143.3446321445577
2018-01-31,28.206033206440278,1777152013461.4106,143.33386266716658
2018-02-01,28.20595807365152,1777018496090.4204,143.32309399888598
2018-02-02,28.20588294086276,1776884988750.586,143.31232613965506
2018-02-03,28.205807808074002,1776751491441.1536,143.30155908941308
2018-02-04,28.205732675285244,1776618004161.3694,143.29079284809916
2018-02-05,28.205657542496485,1776484526910.48,143.28002741565263
2018-02-06,28.205582409707727,1776351059687.732,143.26926279201265
2018-02-07,28.20550727691897,1776217602492.372,143.25849897711848
2018-02-08,28.20543214413021,1776084155323.6467,143.2477359709094
2018-02-09,28.20535701134145,1775950718180.8025,143.23697377332456
