date,log_rate_mean,log_rate_lower,log_rate_upper,rate_mean,rate_lower,rate_upper
2023-02-13,-1.346060422618485,-1.380785422618484,-1.305785422618484,0.26031156641632996,0.25138103515152815,0.2709596336228046
2023-02-14,-1.346333422618483,-1.3809084226184838,-1.3059084226184838,0.2602414143989532,0.25135011718569844,0.2709263076374592
2023-02-15,-1.346611422618482,-1.3810314226184839,-1.306031422618484,0.2601699084048107,0.25131920302254457,0.27089298575095777
2023-02-16,-1.3466544226184856,-1.3811544226184838,-1.3061544226184838,0.26015991930686594,0.25128829266159897,0.27085966796279637
2023-02-17,-1.346762422618485,-1.386277422618484,-1.306277422618484,0.26013336555052297,0.25000423466121596,0.2708263542724709
2023-02-18,-1.3468304226184802,-1.386400422618484,-1.306400422618484,0.2601168498880107,0.2499734860314321,0.27079304467947735
2023-02-19,-1.3470234226184818,-1.386523422618484,-1.3065234226184839,0.2600676733110042,0.24994274118349719,0.2707597391833118
2023-02-20,-1.3473414226184897,-1.386646422618484,-1.306646422618484,0.2599859982976503,0.24991200011694595,0.2707264377834703
2023-02-21,-1.3474744226184867,-1.386769422618484,-1.3067694226184838,0.2599524572347866,0.2498812628313134,0.27069314047944915
2023-02-22,-1.3474774226184814,-1.386892422618484,-1.306892422618484,0.259952421812562,0.24985052932613444,0.27065984727074444
2023-02-23,-1.347520422618486,-1.3870154226184839,-1.3070154226184838,0.2599420702625832,0.24981979960094422,0.27062655815685266
2023-02-24,-1.3476484226184864,-1.387138422618484,-1.307138422618484,0.25990919393129025,0.24978907365527767,0.27059327313727
2023-02-25,-1.3477164226184832,-1.387261422618484,-1.307261422618484,0.25989246754656126,0.24975835148867,0.27055999221149296
2023-02-26,-1.347864422618482,-1.387384422618484,-1.302384422618484,0.25985529283006503,0.24972763310065654,0.2718827361828807
2023-02-27,-1.3479974226184843,-1.387507422618484,-1.302507422618484,0.2598226379257875,0.24969691849077236,0.2718492966629028
2023-02-28,-1.3481054226184874,-1.387630422618484,-1.302630422618484,0.25979493453394753,0.24966620765855294,0.27181586125573304
2023-03-01,-1.3481184226184808,-1.387753422618484,-1.302753422618484,0.25979263627568117,0.2496355006035335,0.2717824299608653
2023-03-02,-1.3482914226184817,-1.3878764226184839,-1.302876422618484,0.2597494418397957,0.24960479732524962,0.27174900277779407
2023-03-03,-1.3484144226184858,-1.3929994226184839,-1.302999422618484,0.2597193356837449,0.24832934181737576,0.27171557970601345
2023-03-04,-1.3485224226184869,-1.393122422618484,-1.303122422618484,0.2596927946748086,0.2482987991867425,0.2716821607450178
2023-03-05,-1.34866542261848,-1.3932454226184838,-1.303245422618484,0.25965664891894363,0.2482682603126218,0.27164874589430166
2023-03-06,-1.348798422618486,-1.393368422618484,-1.3032434226184841,0.2596229013514038,0.2482377251945516,0.271649372091689
2023-03-07,-1.3489364226184852,-1.3934914226184838,-1.303366422618484,0.25958921393256107,0.24820719383207,0.2716159612737292
2023-03-08,-1.3491644226184842,-1.393614422618484,-1.303614422618484,0.2595310770567963,0.24817666622471496,0.27154852599877455
2023-03-09,-1.349387422618481,-1.3937374226184838,-1.303737422618484,0.2594752204951977,0.24814614237202479,0.27151512758412133
2023-03-10,-1.3494854226184851,-1.3938604226184839,-1.298860422618484,0.2594520260678972,0.24811562227353753,0.2728425411282189
2023-03-11,-1.3496284226184887,-1.394108422618484,-1.3038584226184842,0.2594153701643612,0.2480541726880964,0.27148235908961477
2023-03-12,-1.3497864226184837,-1.399106422618484,-1.2991064226184839,0.2593758459799051,0.2468174158917045,0.272775430118094
2023-03-13,-1.3499594226184817,-1.399229422618484,-1.299229422618484,0.259332257612474,0.2467870592165236,0.27274188080351464
